,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,output
383,0,1,0,1,1,other,other,course,mother,0,1,1,1,1,1,1,0,1.0316951635937113,-0.4539543789576424,-0.2789830500314615,-0.7600319244561619,2.4965758093572368,-0.3743051181921297,0.07260614867809903,1.7326030633460807,1.5449502524562555,0.5385532875088825,1.339864308623573,1.0129025496993858,-0.7891594563761749,1
183,0,0,0,0,1,health,health,reputation,mother,0,1,0,0,1,1,1,1,-0.6114217963383591,1.3102156326801409,1.5407154371084224,-0.7600319244561619,0.08365294968062233,-0.3743051181921297,0.07260614867809903,0.7804782639289712,-1.0085456232078611,-0.5435553304269218,-0.99769465991594,-0.3710421971530383,-0.7891594563761749,1
22,0,1,0,1,1,teacher,other,course,mother,0,0,0,1,1,1,1,0,-0.6114217963383591,1.3102156326801409,-0.2789830500314615,-0.7600319244561619,0.08365294968062233,-0.3743051181921297,0.07260614867809903,1.7326030633460807,-1.8597109150959,-0.5435553304269218,0.5606779857770687,1.0129025496993858,-0.7891594563761749,1
448,1,0,1,0,1,teacher,teacher,course,mother,0,0,0,1,1,1,1,1,-0.6114217963383591,1.3102156326801409,1.5407154371084224,0.5767179914572501,1.2901143795189296,-0.3743051181921297,0.07260614867809903,-1.1237713349052476,-1.0085456232078611,-0.5435553304269218,-0.99769465991594,0.3209301762731737,0.5047297744149093,1
165,0,0,1,0,1,services,services,reputation,other,0,1,1,1,1,1,1,1,-1.4329802763043944,0.4281306268612493,0.6308661935384804,0.5767179914572501,1.2901143795189296,-0.3743051181921297,0.07260614867809903,-1.1237713349052476,-1.8597109150959,0.5385532875088825,0.5606779857770687,-0.3710421971530383,-0.3578630461124801,1
411,0,1,0,1,0,health,other,reputation,mother,0,1,0,0,1,1,1,0,0.21013668362767604,1.3102156326801409,1.5407154371084224,-0.7600319244561619,1.2901143795189296,-0.3743051181921297,0.07260614867809903,0.7804782639289712,-1.0085456232078611,-0.5435553304269218,-0.2185083370694357,0.3209301762731737,-0.3578630461124801,1
495,1,0,0,0,1,other,other,reputation,mother,0,0,0,1,1,0,1,1,-0.6114217963383591,0.4281306268612493,0.6308661935384804,-0.7600319244561619,-1.1228084801576852,-0.3743051181921297,0.07260614867809903,1.7326030633460807,0.6937849605682166,-0.5435553304269218,-0.99769465991594,0.3209301762731737,-0.7891594563761749,1
222,0,0,0,0,1,at_home,other,home,mother,0,1,0,0,1,1,0,0,-0.6114217963383591,-1.3360393847765342,-1.1888322936014033,0.5767179914572501,-1.1228084801576852,-0.3743051181921297,0.07260614867809903,-0.1716465354881382,-1.0085456232078611,-0.5435553304269218,1.339864308623573,1.0129025496993858,-0.3578630461124801,1
636,1,1,0,0,1,teacher,teacher,home,father,0,0,0,1,0,1,1,0,1.0316951635937113,1.3102156326801409,1.5407154371084224,-0.7600319244561619,0.08365294968062233,-0.3743051181921297,-0.9745358622571536,-1.1237713349052476,0.6937849605682166,-0.5435553304269218,1.339864308623573,-1.0630145705792504,0.0734333641512146,1
356,0,0,1,0,1,teacher,teacher,course,mother,0,0,0,1,1,1,1,0,0.21013668362767604,1.3102156326801409,1.5407154371084224,-0.7600319244561619,-1.1228084801576852,-0.3743051181921297,0.07260614867809903,0.7804782639289712,0.6937849605682166,-0.5435553304269218,-0.99769465991594,1.0129025496993858,-0.3578630461124801,1
91,0,0,0,0,1,services,other,reputation,mother,0,0,0,1,1,1,1,0,-1.4329802763043944,1.3102156326801409,0.6308661935384804,-0.7600319244561619,-1.1228084801576852,-0.3743051181921297,0.07260614867809903,1.7326030633460807,1.5449502524562555,-0.5435553304269218,0.5606779857770687,-1.7549869440054624,0.5047297744149093,1
245,0,1,1,0,1,other,other,course,father,0,1,0,1,1,1,1,0,0.21013668362767604,-0.4539543789576424,-0.2789830500314615,0.5767179914572501,0.08365294968062233,-0.3743051181921297,0.07260614867809903,1.7326030633460807,-1.0085456232078611,-0.5435553304269218,-0.99769465991594,-1.7549869440054624,-0.7891594563761749,1
422,0,0,0,0,1,services,other,home,mother,0,1,0,1,0,1,1,1,1.0316951635937113,0.4281306268612493,-0.2789830500314615,-0.7600319244561619,0.08365294968062233,-0.3743051181921297,-0.9745358622571536,-2.075896134322357,-1.0085456232078611,-0.5435553304269218,-0.2185083370694357,-1.7549869440054624,0.0734333641512146,1
56,0,0,0,0,0,services,services,reputation,mother,0,1,0,1,1,1,1,0,-1.4329802763043944,1.3102156326801409,0.6308661935384804,-0.7600319244561619,0.08365294968062233,-0.3743051181921297,0.07260614867809903,-0.1716465354881382,-1.0085456232078611,-0.5435553304269218,-0.99769465991594,-1.7549869440054624,-0.7891594563761749,1
340,0,1,0,0,1,health,other,home,mother,0,1,0,0,1,1,1,0,0.21013668362767604,0.4281306268612493,0.6308661935384804,-0.7600319244561619,-1.1228084801576852,-0.3743051181921297,0.07260614867809903,0.7804782639289712,-0.1573803313198222,-0.5435553304269218,0.5606779857770687,1.0129025496993858,-0.7891594563761749,1
236,0,0,0,0,1,services,teacher,other,mother,1,0,0,0,1,1,1,0,-0.6114217963383591,-0.4539543789576424,0.6308661935384804,-0.7600319244561619,0.08365294968062233,-0.3743051181921297,-2.0216778731924063,-0.1716465354881382,-1.8597109150959,-0.5435553304269218,-0.99769465991594,-0.3710421971530383,-0.7891594563761749,1
